,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
0,170287904,443200,154786,195801,237959,89585,27465,54029,110580,49016,75871,31105,6024,649,129726,8748,809,6961,18877,12937,6784,2725,0,2,70942,9781,13769,4634,67,49991,1113,1675,3742,3987,509,0,0,3937,2210,172,100550,2906,28253,4796,0,1635,12882,73511,0,286,909,0,1774,1430,1788,3339,4511,138278,15094,116001,28329,160550,112256,68131,38285,0,1783,19669,19253,2294,23436,0,116830,50119,41127,9119,5308,1,5649,0,0
1,1183690,5582360,25961,28568,28551,295,18421,403,2836,2124,0,6079,0,0,4500,0,8648,3329,14920,200,384,4708,0,0,0,1254,8814,1244,13100,2134,0,0,179,0,0,0,0,597,0,0,939,1284,37,0,0,0,6833,1143,0,37,42,1948,832,1921,0,1,3122,2089,5977,0,162925,10939,49,4931,3367,0,848,399,318,0,0,0,362,0,0,0,0,257,15614,0,0
2,109114,16035,398093,3045,23814,4534,5173,0,107,1,0,738,0,0,390,0,0,0,1,0,82,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3386,0,0,0,0,0,0
3,1176837,34540,1993,1919492,41798,2263,2290,25499,49105,3659,0,44,0,0,164,0,7126,1736,0,0,0,0,0,0,0,0,28922,0,0,15631,1967,0,0,0,3873,0,0,0,32,0,0,0,0,0,0,0,10096,0,0,0,0,0,0,0,0,9172,0,19988,7715,102,0,0,4129,0,133,0,0,2237,1055,0,204,0,0,8372,0,0,0,79,0,0,0
4,340944,35140,93419,65709,2713690,5121,2373,1730,6835,12631,0,31,0,553,0,0,0,0,0,0,0,0,0,0,0,7217,0,3834,0,16134,0,0,2760,0,0,0,0,1930,0,0,4485,0,383,0,0,187,0,0,0,0,0,0,0,0,0,0,0,7953,0,0,0,0,0,0,0,0,86,0,658,0,0,0,0,0,0,154,0,7,0,0,0
5,434248,2979,2578,3178,69312,1027336,3878,6901,2333,14499,2556,0,0,0,817,766,0,0,0,0,0,0,0,0,0,1342,0,0,0,0,8838,3172,1,71,1553,0,0,11,4630,0,0,0,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,725,0,111,0,0,0,0,0,0,0,0,0,0
6,268037,1703,1729,22320,497,4941,538496,51907,144559,6214,6663,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303,0,0,1300,0,0,0,0,0,0,0,4137,0,0,0,0,0,0,0,0,0,0,0,0
7,36009,17,0,6815,0,11,6979,106692,3032,1720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
8,250855,5660,0,116985,4708,550,23059,1299,209400,895,591,437,0,388,0,0,0,0,0,0,0,0,0,0,0,239,0,1826,0,1338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327,0,0,0,0,0,0,0,0
9,655236,7129,3862,0,690,7460,0,4688,11386,395442,0,1171,0,0,2720,129,0,0,0,0,0,0,0,0,0,2868,1688,0,0,439,0,0,0,0,768,0,0,0,2674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2091,0,741,5792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,691,0,0,0,0,0
