,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
0,171481280,444428,65364,131575,177489,19339,0,4229,123,4248,19660,5661,352,0,108162,10862,1825,321,7157,13096,1090,6156,19,1,26502,3399,48967,43,13707,2855,0,0,0,181,0,0,0,289,0,0,30822,0,28669,0,0,0,1004,55795,33859,0,936,19626,330,0,2996,10206,0,98792,59232,184385,9470,5166,49361,1064,7829,0,0,2536,3489,232,27104,0,20713,19685,46437,22,0,0,10014,0,0
1,1619474,5218209,3262,26620,22045,97,0,164,0,0,60,2582,0,0,1410,0,2288,1167,8674,35,88,3664,0,72,0,0,2763,271,19029,820,0,0,0,0,0,0,0,0,0,0,518,0,610,0,0,0,815,889,0,0,0,42,0,0,0,0,0,10726,13505,672,179884,0,0,0,1383,0,280,2853,0,0,0,0,0,0,0,0,0,0,24542,0,0
2,212229,19392,291687,1087,32618,0,0,546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342,0,0,2079,0,0,0,0,0,0,0,0,0,0,63,0,2490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377,0,1149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1272,0,0,0,0,0
3,1945886,29390,12438,1259457,44945,0,0,126,0,195,0,0,0,0,573,0,4580,0,0,0,0,0,0,0,0,0,20106,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5884,0,9607,44886,0,176,0,0,0,0,0,0,0,0,0,191,0,0,0,0,0,1630,0,0,0,0
4,834257,116253,235036,35934,2056415,5123,0,22,0,2279,0,0,0,0,5556,0,0,0,0,0,0,0,0,0,0,7,0,4793,0,2540,0,0,0,0,0,0,0,895,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17909,5265,0,911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,766,0,0
5,952678,29563,1187,4726,119993,438910,0,23457,0,0,0,0,0,0,31,2428,0,0,797,0,0,0,0,0,0,0,16902,0,0,0,694,0,0,18,37,0,0,0,90,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,581,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,726999,2422,0,157085,521,5040,938,150175,1996,0,5965,0,0,0,0,0,0,0,0,0,0,0,0,156,0,0,2234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,0,821,0,0,0,0,0,0,0,0,0,0
7,93149,40,0,7469,0,0,0,60619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,419574,11685,0,151822,3705,76,0,1424,5235,0,3824,0,0,0,674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11934,0,0,0,0,0,0,0,0,0,0,0,0,5744,0,0,0,0,0,0,0,0,0,0
9,1055663,3748,1825,51,2576,285,0,1077,0,30820,0,0,0,0,6866,0,0,0,0,0,0,0,0,0,0,0,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1544,0,0,2972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,333799,501,0,0,5997,562,0,0,0,0,501954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,4514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1748,1129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,413306,69295,0,910,3651,81,0,2056,0,13862,2054,479723,0,0,0,676,0,0,569,0,174,76,0,0,0,0,0,34,85,0,0,0,0,0,0,0,0,122,0,0,490,0,89,0,0,0,0,3840,694,0,0,0,0,0,0,744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3171,0,0,0,0
12,7022,0,0,400,0,0,0,559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,65410,462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6343,0,0,0,0,0,0,0,0,0,0,0,0,851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23637,0,0,0,0,1471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,493449,19841,0,0,3514,0,0,0,0,0,0,0,0,0,372442,0,0,0,0,0,0,0,0,0,0,0,0,0,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15718,0,6528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,63190,4336,0,0,0,0,0,0,0,971,0,0,0,0,0,34032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,214624,87787,0,0,0,0,0,0,0,0,0,0,0,0,0,4890,123196,3115,423,0,0,0,0,3793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,4925,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365,0,0
17,55132,91606,0,0,0,0,0,0,0,0,0,0,0,0,0,2047,19214,51892,48713,3914,4472,670,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,604,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16002,0,0
18,20957,11892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,991,45255,69,3073,11450,0,3994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,15021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,40786,1839,0,0,0,0,0,0,0,0,0,0,0,0,0,1249,0,44,3364,19566,53539,30281,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,15149,6922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4138,4395,897,33315,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,541395,1896,0,0,0,0,0,0,0,0,0,0,0,0,0,66427,766,12473,43326,6137,32287,2219,9570,931,1130566,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8065,0,0
25,13051,65401,0,739,83,0,0,0,0,0,0,0,0,0,1944,0,0,0,0,0,0,0,0,0,0,109,0,0,0,2186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,36765,2549,0,178,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0
27,16098,25306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1296,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
