,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
0,169742679,567766,161328,113480,220724,79062,4650,14631,102049,30755,68576,23582,3205,316,78246,14139,2245,4725,21160,10878,14762,1611,23909,27,24755,23859,80144,34114,8314,38986,9378,1657,128,14059,1936,1723,174,10117,1146,40938,71814,7118,40321,0,656,3444,25993,54122,25174,1955,438,25471,223,2614,6189,11617,47974,229981,41472,179333,59215,321714,91404,91723,68556,2500,1957,20285,6670,5857,23026,0,98514,55082,70208,4822,18744,409,15626,0,0
1,825488,5981349,14236,29709,33381,1799,386,8188,3120,2884,0,4924,0,0,3152,0,3670,620,3461,0,1555,0,0,0,0,8489,6680,22035,35405,156,0,0,0,0,109,646,91,819,0,0,393,494,71,0,364,555,3258,457,0,155,0,3670,0,0,113,1559,7948,1663,367,0,100411,5945,0,6129,691,40,641,6481,1,0,0,0,0,0,0,0,0,220,35405,0,130
2,135086,10671,377317,956,29882,1373,684,1344,787,0,1396,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,776,0,0,0,0,12,0,0,0,179,348,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3157,6,0,0,0,0,0
3,1444647,37218,12840,1662376,19472,5358,342,1007,30808,11023,537,0,120,1724,0,0,2763,355,0,0,0,0,0,0,0,0,69424,0,0,9631,0,0,0,0,200,0,0,0,0,0,0,0,0,0,363,0,0,0,0,0,0,0,0,0,0,7977,0,9032,47936,0,491,0,2506,0,205,0,0,0,39,0,1859,0,0,0,0,0,0,0,0,0,0
4,526160,67732,215917,19485,2325624,11214,126,0,2763,2095,20,124,0,8,0,0,0,0,0,0,0,0,0,0,0,23228,352,92133,0,20235,3,0,28,0,0,751,6,3717,0,0,262,0,461,0,0,1683,0,0,0,0,0,0,0,0,0,0,550,3013,0,0,4,0,0,0,0,278,0,0,2958,0,0,0,0,0,0,1019,599,1416,0,0,0
5,402208,11623,2814,212,49041,1069009,693,1223,3864,5133,27,8,0,0,1600,2750,0,0,207,0,4,0,0,0,0,0,4482,41,0,138,10196,0,0,67,18042,3596,0,0,4981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,176,0,0,0,0,0
6,432230,7117,166,18963,644,8359,234391,139194,203047,0,2989,0,0,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1350,0,0,0,0,0,0,0,804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4046,0,419,0,0,0,0,0,0,720,0,0,0
7,64150,0,0,318,0,0,0,96809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,307158,6848,0,85585,4030,2766,121,3163,188771,2138,9591,0,0,2406,0,0,0,0,0,0,0,0,0,0,0,0,0,833,0,609,0,0,0,0,0,0,0,636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7676,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,661624,23211,6041,239,473,6782,0,45,0,343586,0,0,0,0,2255,1769,0,0,337,0,0,3,0,0,0,4186,20975,345,0,500,0,63,258,0,17187,619,0,248,16150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,112,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,605,0,0,0,0,0
10,276548,387,0,1905,4072,3971,15,0,4,0,521226,0,0,9937,0,0,0,0,0,0,0,0,0,0,0,6762,812,24,0,1361,0,0,0,0,3885,0,0,0,0,0,0,2166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,5843,1884,253,0,0,2432,0,0,0,0,0,0,3415,1265,2031,0,0,0
11,152768,46596,0,0,0,1006,0,145,9206,0,2617,759943,0,3699,0,0,0,0,1113,0,0,0,0,0,0,0,0,0,42,3136,0,0,0,0,0,0,0,2938,0,0,755,0,0,0,0,0,0,574,0,1229,0,0,0,0,0,2146,3928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2251,712,0,898,0,0
12,7325,0,0,0,0,0,0,656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,40087,4633,0,0,0,0,0,0,0,0,0,0,0,23651,0,0,0,0,0,0,0,0,0,0,0,61,0,557,447,23636,0,0,0,0,0,0,0,0,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
14,425202,4997,14,0,0,0,0,0,0,0,0,0,0,0,471971,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2112,834,0,2500,3133,1092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
